id,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Total TCP Flow Time,Label,Attempted Category
11,172.31.66.11-104.20.117.11-49697-443-6,172.31.66.11,49697,104.20.117.11,443,6,2018-02-14 12:30:07.045762,117350446,13,12,587,3909,187,0,45.15384615384615,67.15510175934284,1460,0,325.75,551.8455193917291,38.31259405694973,0.2130371110817934,4889601.916666666,16504547.784684686,58858047,0,117350446,9779203.833333334,22746454.541449387,58858047,165,117272735,10661157.727272728,23668651.581947587,58894470,0,6,6,0,0,0,0,272,252,0.1107792977625325,0.1022578133192608,0,1460,179.83999999999995,402.8692591896284,162303.63999999998,0,2,0,12,24,0,1,1,0.9230769230769232,179.84,45.15384615384615,325.75,0,0,0,0,0,0,0,23,0,156,8192,31,6,20,161120.5,117732.57196077898,244370,77871,58475156.5,541488.9380038156,58858047,58092266,-1,-1,117350446,BENIGN,-1
12,172.31.66.11-104.20.117.11-49715-443-6,172.31.66.11,49715,104.20.117.11,443,6,2018-02-14 12:30:07.800381,116595831,13,11,587,3909,187,0,45.15384615384615,67.15510175934284,1460,0,355.3636363636363,568.6922318314666,38.56055539412897,0.2058392636697276,5069383.956521739,16740840.36335113,58154760,1,116595831,9716319.25,22610980.62222629,58154760,164,116517799,11651779.9,24545745.46080142,58279507,1,6,6,0,0,0,0,272,232,0.1114962678211024,0.0943429958486251,0,1460,187.3333333333333,409.7505780738864,167895.53623188403,0,2,0,12,23,0,1,1,0.8461538461538461,187.33333333333331,45.15384615384615,355.3636363636364,0,0,0,0,0,0,0,24,0,162,8192,31,6,20,135456.0,81272.02500245703,192924,77988,58123458.0,44267.71292940262,58154760,58092156,-1,-1,116595831,BENIGN,-1
13,172.31.66.11-52.85.89.210-49696-443-6,172.31.66.11,49696,52.85.89.210,443,6,2018-02-14 12:30:07.044667,117351527,16,14,881,5726,252,0,55.06249999999999,84.17875325757682,1460,0,409.0,595.1550541342469,56.3009290880382,0.2556421783927873,4046604.379310345,15032671.953336503,58545521,1,117351527,7823435.133333334,20501345.378562625,58545521,77,117273685,9021052.692307692,21924192.35058376,58669952,1,7,7,0,0,0,0,332,292,0.1363424951428199,0.1192996832499674,0,1460,220.23333333333343,441.2512524810462,194702.667816092,0,2,0,14,29,0,1,1,0.875,220.2333333333333,55.0625,409.0,0,0,0,5024,4,60530120,0,29,0,190,8192,127,7,20,317917.5,339489.74382225453,557973,77862,58318891.0,320503.2196406145,58545521,58092261,-1,-1,117351527,BENIGN,-1
14,172.31.66.11-104.20.16.243-49710-443-6,172.31.66.11,49710,104.20.16.243,443,6,2018-02-14 12:30:07.464838,116931367,14,13,916,6239,320,0,65.42857142857143,98.65925375578487,1460,0,479.92307692307696,619.1938928341242,61.18974047399959,0.2309046810339607,4497360.269230769,15814830.987026991,58342465,1,116931367,8994720.538461538,21845770.67948811,58342465,255,116853674,9737806.166666668,22710871.837085374,58547213,1,7,7,0,0,0,0,292,272,0.1197283531287203,0.1111763279052403,0,1460,265.00000000000006,475.7766120937269,226363.38461538465,0,2,0,14,26,0,1,1,0.9285714285714286,265.0,65.42857142857143,479.9230769230769,0,0,0,5346,4,1782000000,0,33,0,231,8192,32,7,20,209371.5,186005.1458979025,340897,77846,58217381.0,176895.48923587622,58342465,58092297,-1,-1,116931367,BENIGN,-1
15,172.31.66.11-209.85.203.95-49713-443-6,172.31.66.11,49713,209.85.203.95,443,6,2018-02-14 12:30:07.748752,117741183,19,23,1567,6600,602,0,82.47368421052632,148.51687836032218,1430,0,286.9565217391305,473.5093815198932,69.36400494634064,0.3567146085155268,2871736.170731707,12658645.152013969,58154356,0,117741183,6541176.833333334,18776684.077924848,58290977,30,117585054,5344775.181818182,17111215.178229894,58251392,0,10,14,0,0,0,0,392,472,0.1613708943284525,0.1953437141870742,0,1430,194.4523809523809,374.9709713890353,140603.2293844367,0,2,0,24,41,0,1,1,1.2105263157894737,194.45238095238096,82.47368421052632,286.95652173913044,0,0,0,1456,4,3235555,0,37,0,157,8192,185,10,20,708309.5,781912.3146750536,1261205,155414,58084203.0,99211.32404115974,58154356,58014050,-1,-1,117741183,BENIGN,-1
16,172.31.66.11-104.17.168.182-49728-443-6,172.31.66.11,49728,104.17.168.182,443,6,2018-02-14 12:30:08.460415,116951351,14,18,1329,11242,736,0,94.92857142857144,195.8097445071517,1460,0,624.5555555555557,677.4375788237721,107.48913879584,0.2736180448227571,3772624.225806452,14562863.59586324,58556037,0,116951351,8996257.769230768,21892547.28775251,58556037,196,116873375,6874904.411764706,19382708.646160733,58573911,0,7,11,0,0,0,0,292,372,0.1197078946099562,0.1539101502128008,0,1460,392.84375,582.2393427257746,339002.65221774194,0,2,0,18,31,0,1,1,1.2857142857142858,392.84375,94.92857142857144,624.5555555555555,0,0,0,5392,4,2157000000,0,41,0,351,8192,33,7,20,112588.5,49962.04383829789,147917,77260,58324111.0,327992.8946669424,58556037,58092185,-1,-1,116951351,BENIGN,-1
17,172.31.66.11-216.58.211.168-49766-443-6,172.31.66.11,49766,216.58.211.168,443,6,2018-02-14 12:30:10.514121,118975682,19,22,1904,4077,684,0,100.21052631578948,189.30738641085196,1430,0,185.31818181818184,411.6592888905462,50.270777182853216,0.3446082368328008,2974392.0500000003,12865389.7111904,58717720,0,118975682,6609760.111111112,18847122.895234223,58852694,37,118821308,5658157.523809524,17558849.751473133,58813478,0,10,13,0,0,0,0,392,452,0.1596964999956882,0.1849117368371126,0,1430,145.8780487804878,327.01866881891857,106941.20975609757,0,2,0,23,40,0,1,1,1.1578947368421053,145.8780487804878,100.21052631578948,185.3181818181818,0,0,0,517,5,222269,0,46,0,99,8192,187,10,20,1067320.0,1288764.3341092272,1978614,156026,58342980.5,529961.6832569124,58717720,57968241,-1,-1,118975682,BENIGN,-1
18,172.31.66.11-209.85.202.157-49758-443-6,172.31.66.11,49758,209.85.202.157,443,6,2018-02-14 12:30:09.961606,118528240,17,16,1003,5791,360,0,59.00000000000001,99.0586947218668,1430,0,361.9375,528.1136833107054,57.31967335379316,0.2784146630372643,3704007.5,14267241.868222011,58186891,1,118528240,7408015.0,19810775.482697416,58322889,30,118372029,7891468.6,20432333.828835856,58283845,1,8,9,0,0,0,0,352,332,0.1434257355040452,0.1349889275332191,0,1430,205.87878787878785,399.09974924633167,159280.6098484848,0,2,0,17,32,0,1,1,0.9411764705882352,205.87878787878788,59.0,361.9375,0,0,0,1228,4,332611,0,30,0,175,8192,180,8,20,1101178.0,1336580.308866624,2046283,156073,58084858.0,144296.452409614,58186891,57982825,-1,-1,118528240,BENIGN,-1
19,172.31.66.11-107.178.240.89-49763-443-6,172.31.66.11,49763,107.178.240.89,443,6,2018-02-14 12:30:10.012309,119399373,22,28,2984,6761,1184,0,135.63636363636363,309.78218852768845,1430,0,241.4642857142857,395.1669578838476,81.61684400134999,0.4187626680418163,2436721.8979591834,11622568.437614951,58332413,0,119399373,5685684.428571428,17468635.239492066,58391020,36,119322371,4419347.074074074,15515316.77965802,58350514,0,12,17,0,0,0,0,452,572,0.1842555739383991,0.2345070941034171,0,1430,194.90000000000003,360.5404248613235,129989.39795918368,0,2,0,29,49,0,1,1,1.2727272727272727,194.9,135.63636363636363,241.4642857142857,0,0,0,1099,4,160356,0,59,0,135,8192,196,12,20,1471817.0,1971208.6449815503,2865672,77962,58189373.5,202288.40085506637,58332413,58046334,-1,-1,119399373,BENIGN,-1
20,172.31.66.11-151.101.34.2-49757-443-6,172.31.66.11,49757,151.101.34.2,443,6,2018-02-14 12:30:09.871753,119571123,19,23,5169,12186,1540,0,272.0526315789474,432.82578913772,1460,0,529.8260869565217,674.620880210367,145.1437400985186,0.3512553779393708,2916368.853658537,12652753.86437052,58107977,0,119571123,6642840.166666667,18721427.762529727,58107977,36,119494955,5431588.863636363,17078347.593136847,58200485,0,11,9,0,0,0,0,392,472,0.1589012424011439,0.1923541355382269,0,1540,413.2142857142857,585.9315508060349,343315.78222996515,0,2,0,20,41,0,1,1,1.2105263157894737,413.2142857142857,272.05263157894734,529.8260869565217,0,0,0,7268,5,2422666666,0,123,0,290,8192,81,11,20,1646500.5,2240485.5138591053,3230763,62238,58084995.0,32501.45609045847,58107977,58062013,-1,-1,119571123,BENIGN,-1
21,172.31.66.11-209.85.203.149-49796-443-6,172.31.66.11,49796,209.85.203.149,443,6,2018-02-14 12:30:13.674171,116831280,15,13,937,3648,303,0,62.466666666666654,91.1794671957192,1430,0,280.6153846153846,517.7419786054212,39.24462695264487,0.2396618439856175,4327084.444444445,15446854.70919787,57967766,0,116831280,8345091.428571428,21031285.219134934,58005977,138,116675528,9722960.666666668,22571201.051300023,58123657,0,8,7,0,0,0,0,312,272,0.1283902735637236,0.1112715704218938,0,1430,163.75,368.4047316421117,135722.04629629632,0,2,0,15,27,0,1,1,0.8666666666666667,163.75,62.46666666666667,280.61538461538464,0,0,0,0,0,0,0,33,0,130,8192,180,8,20,419057.5,371895.0333904716,682027,156088,57918780.5,69275.95845962725,57967766,57869795,-1,-1,116831280,BENIGN,-1
22,172.31.66.11-209.85.203.132-49779-443-6,172.31.66.11,49779,209.85.203.132,443,6,2018-02-14 12:30:12.661669,117843760,23,55,975,60505,241,0,42.39130434782608,71.57941497540577,1430,0,1100.090909090909,584.6884346868558,521.7077255511874,0.6618933408098995,1530438.4415584416,9315834.47100756,58427479,0,117843760,5356534.545454545,17119250.807511725,58509968,205,117688269,2179412.388888889,11114249.543571662,58522085,0,9,10,0,0,0,0,472,1112,0.1951736774183037,0.4667196633915957,0,1430,788.2051282051282,690.5359363956951,476839.8794538795,0,2,0,19,77,0,1,1,2.391304347826087,788.2051282051282,42.391304347826086,1100.090909090909,0,0,0,28656,20,483087,0,12,0,775,8192,180,9,20,638654.5,704634.0287727382,1136906,140403,58205452.0,313993.5946130112,58427479,57983425,-1,-1,117843760,BENIGN,-1
23,172.31.66.11-209.85.203.149-49808-443-6,172.31.66.11,49808,209.85.203.149,443,6,2018-02-14 12:30:14.486145,117034859,13,12,588,3415,188,0,45.23076923076923,67.33146100468667,1430,0,284.58333333333337,540.5573652735806,34.2034846216203,0.2136115702074712,4876452.458333334,16395272.830630792,58248522,1,117034859,9752904.916666668,22586884.47122857,58248522,343,116879247,10625386.09090909,23554834.79317374,58410612,1,6,6,0,0,0,0,272,252,0.111078016507885,0.1025335536995862,0,1430,160.12,388.70054026203775,151088.11000000002,0,2,0,12,24,0,1,1,0.9230769230769232,160.12,45.23076923076923,284.5833333333333,0,0,0,0,0,0,0,23,0,136,8192,176,6,20,331493.0,248105.38474204869,506930,156056,58108151.5,198513.86485709253,58248522,57967781,-1,-1,117034859,BENIGN,-1
24,172.31.66.11-107.23.95.151-49815-443-6,172.31.66.11,49815,107.23.95.151,443,6,2018-02-14 12:30:15.365138,117093335,16,15,1133,4523,386,0,70.8125,107.35189409911064,1460,0,301.53333333333325,490.1807052603394,48.303347069241816,0.2647460677416012,3903111.166666667,14747018.114351653,58244403,1,117093335,7806222.333333334,20441094.160704847,58244403,38,117015538,8358252.714285715,21115366.257547203,58256267,1,8,10,0,0,0,0,332,312,0.1366431317376006,0.1281029360040005,0,1460,182.45161290322588,362.8069127152603,131628.8559139785,0,2,0,18,30,0,1,1,0.9375,182.4516129032258,70.8125,301.53333333333336,0,0,0,0,0,0,0,36,0,145,8192,118,8,20,354968.0,391868.678638648,632061,77875,58152710.0,129673.4841746762,58244403,58061017,-1,-1,117093335,BENIGN,-1
25,172.31.66.11-108.177.98.106-49794-443-6,172.31.66.11,49794,108.177.98.106,443,6,2018-02-14 12:30:13.260493,119229206,28,37,1926,4993,419,0,68.78571428571428,97.33118610373444,1430,0,134.94594594594597,326.4120560431712,58.031083424307965,0.5451684380083853,1862956.34375,10220558.568628948,58610694,0,119229206,4415896.518518518,15552531.679949528,58713838,28,119120112,3308892.0,13553214.571892418,58673518,0,16,21,0,0,0,0,572,752,0.2348417886805352,0.3103266493278501,0,1430,106.44615384615378,254.9865211369778,65018.12596153844,0,2,0,37,64,0,1,1,1.3214285714285714,106.44615384615383,68.78571428571429,134.94594594594594,0,0,0,421,4,11999,0,29,0,76,8192,197,16,20,1239786.0,1599048.446548134,2370484,109088,58320248.0,410752.672337016,58610694,58029802,-1,-1,119229206,BENIGN,-1
26,172.31.66.11-209.85.202.156-49781-443-6,172.31.66.11,49781,209.85.202.156,443,6,2018-02-14 12:30:12.664221,119872370,65,93,8801,61462,2359,0,135.39999999999995,384.9996672076484,1430,0,660.8817204301075,676.6675031142851,586.1484176879126,1.3180685424005547,763518.280254777,6544055.267652205,58393097,0,119872370,1873005.78125,10207111.850682637,58529408,42,119716388,1301265.0869565215,8545976.799379766,58490042,0,31,34,0,0,0,0,1312,1872,0.5422433876964308,0.775825154704124,0,2359,444.7025316455696,629.3049295758411,396024.6943884544,0,2,0,65,157,0,1,1,1.4307692307692308,444.7025316455696,135.4,660.8817204301075,3282,5,338245,18922,14,472028,0,55,0,389,8192,296,31,20,1670142.0,2141467.229969209,3184388,155896,58188046.0,289985.9051781655,58393097,57982995,-1,-1,119872370,BENIGN,-1
27,172.31.66.11-52.84.63.30-49820-443-6,172.31.66.11,49820,52.84.63.30,443,6,2018-02-14 12:30:17.129153,117344907,15,16,3848,5863,2921,0,256.5333333333333,742.7440307657109,1460,0,366.4375,568.421788082289,82.7560415553442,0.26417848709872,3911496.9,14831550.466594782,58867050,0,117344907,8381779.071428572,21221769.96358016,58867050,38,117282588,7818839.199999999,20582662.97722221,58877131,0,8,7,0,0,0,0,312,332,0.127828300209058,0.1363501868896619,0,2921,313.25806451612897,649.7031613355921,422114.1978494624,0,2,0,15,30,0,1,1,1.0666666666666669,313.258064516129,256.53333333333336,366.4375,3512,4,1383221,4937,4,2468500000,0,124,0,189,8192,150,8,20,169434.0,129379.3277537026,260919,77949,58471849.5,558897.9069566283,58867050,58076649,-1,-1,117344907,BENIGN,-1
28,172.31.66.11-172.31.0.2-65401-53-17,172.31.66.11,65401,172.31.0.2,53,17,2018-02-14 12:30:24.998250,1059,1,1,43,97,43,43,43.0,0.0,97,97,97.0,0.0,132200.18885741264,1888.5741265344664,1059.0,0.0,1059,1059,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,8,8,944.2870632672332,944.2870632672332,43,97,70.0,38.18376618407357,1458.0,0,0,0,0,0,0,0,0,1.0,70.0,43.0,97.0,0,0,0,0,0,0,0,21,0,48,0,0,0,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0,BENIGN,-1
29,172.31.66.11-216.58.211.162-49764-443-6,172.31.66.11,49764,216.58.211.162,443,6,2018-02-14 12:32:15.009489,117179952,7,7,290,334,152,0,41.42857142857142,53.90997787317032,118,0,47.71428571428572,41.67219011008935,5.32514299032995,0.1194743619625309,9013842.461538462,21881050.09247656,58373538,1,117179952,19529992.0,30096575.18951976,58395328,313,117021855,19503642.5,30161964.91613004,58529690,1,4,5,0,0,0,0,140,140,0.0597371809812654,0.0597371809812654,0,152,44.57142857142858,46.40575940004113,2153.494505494505,0,0,0,9,14,0,0,0,1.0,44.57142857142857,41.42857142857143,47.71428571428572,0,0,0,0,0,0,0,20,0,23,254,315,3,20,195810.5,56156.299241492045,235519,156102,58316143.5,81168.0803056226,58373538,58258749,-1,-1,241675589,BENIGN,-1
30,172.31.66.11-52.168.138.145-123-123-17,172.31.66.11,123,52.168.138.145,123,17,2018-02-14 12:32:55.662847,64033424,2,2,96,96,48,48,48.0,0.0,48,48,48.0,0.0,2.998434067808087,0.0624673764126684,21344474.666666664,36933370.11015413,63991457,19940,64011397,64011397.0,0.0,64011397,64011397,64013484,64013484.0,0.0,64013484,64013484,0,0,0,0,0,0,16,16,0.0312336882063342,0.0312336882063342,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,48.0,48.0,48.0,0,0,0,0,0,0,0,24,0,24,0,0,1,8,19940.0,0.0,19940,19940,63991457.0,0.0,63991457,63991457,-1,-1,0,BENIGN,-1
